,seed,actions
0,3863890000,"[2, 0, 3, 0, 0, 2, 2, 1, 2, 1, 3, 0, 0, 3, 3, 1, 2, 3, 1, 1, 2, 0, 2, 0, 3, 1, 0, 2, 1, 2, 0, 0, 3, 1, 0, 2, 1, 1, 3, 3, 3, 0, 0, 2, 2]"
1,3863890001,"[0, 2, 0, 2, 0, 2, 2, 2, 1, 1, 3, 3, 3, 0, 0, 2, 1, 0, 1, 3, 1, 3, 1, 0, 2, 0, 0, 2, 2, 2, 1, 1, 3, 1, 3, 0, 2, 2, 1, 1, 3, 0, 3, 0, 3, 3, 0, 0, 2, 2, 1, 0, 1, 3, 1, 2]"
2,3863890002,[]
3,3863890003,"[3, 0, 1, 0, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 1, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 0]"
4,3863890004,"[0, 1, 3, 3, 0, 0, 0, 2, 2, 3, 3, 1, 1, 1, 2, 2, 0, 3, 1, 3, 0, 0, 1, 0, 2, 0, 3]"
5,3863890005,"[3, 2, 2, 2, 2, 1, 0, 3, 3, 3, 1, 2, 0, 2, 2, 1, 1]"
6,3863890006,[]
7,3863890007,"[0, 2, 3, 1, 2, 0, 2, 3, 1, 2, 0, 2, 3, 1, 2, 0, 2]"
8,3863890008,"[0, 1, 3, 3, 0, 3, 0, 0, 2, 0, 3, 1, 1, 1, 2, 1, 2, 2, 0, 3, 1, 3, 3, 0, 0, 0, 2, 0, 3, 0, 2, 1, 3, 1, 1, 1, 1, 2, 2, 0, 3, 2, 3, 1, 3, 0, 0, 0]"
9,3863890009,[]
10,3863890010,"[2, 2, 1, 2, 0, 0, 3, 1, 3, 3, 1, 2, 0, 2, 0, 3, 1, 1, 2, 3, 2, 0, 3, 0, 0, 3, 1, 0, 1, 2, 1, 2, 1, 2, 0, 1, 3, 3, 3, 0, 2, 0, 2, 1, 1, 2, 0, 2, 2, 1, 3, 0, 3, 3, 1, 2, 0, 1, 3, 3, 0, 0, 0, 3, 1, 0, 1, 2, 1, 2, 1, 2, 0, 2, 2, 1, 3, 0, 3, 3, 3, 1, 3, 0, 2, 0, 2, 1, 2, 2, 1, 3, 0, 3, 3, 0, 0, 3, 1, 0, 1, 2, 1, 1, 2, 3, 2, 0, 3, 0, 3, 1, 2, 0, 2, 1, 1, 2, 2]"
11,3863890011,[]
12,3863890012,"[1, 3, 2, 0, 3, 3, 3, 3, 1, 1, 0, 0, 2, 2, 2, 1, 3, 0, 3, 3, 1, 1, 1, 3, 2, 0, 0, 2, 0, 3, 1, 1, 1, 3, 1, 1, 2, 0, 3, 2, 2, 0, 3, 1, 0, 0, 0, 0, 2, 2, 2, 1, 3]"
13,3863890013,"[3, 0, 0, 2, 0, 3, 2, 2, 2, 1, 3, 3, 3, 3, 3, 0, 2, 2, 2]"
14,3863890014,[]
15,3863890015,"[0, 0, 0, 2, 2, 2, 2, 2, 1, 1, 3, 0, 3, 0, 3, 3, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 2, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 3, 1, 0, 2, 0, 2, 1, 0, 3, 3, 3, 1, 0, 2, 2, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 3, 1, 1, 1, 3, 0, 1, 0, 2, 0, 2, 2, 2, 0, 3, 2, 2, 1, 1, 3, 0, 3, 3, 3, 0, 3, 1, 0, 2, 1, 2, 2, 0, 3, 2, 2, 2, 1, 1, 3, 0, 3, 3, 3, 3, 0, 2, 1, 1, 1, 3, 0, 1, 0, 2, 0, 0, 2, 3, 3, 1, 0, 2, 2, 2, 1, 0, 3, 3, 1, 1, 1, 3, 0, 1, 0, 2, 0, 2, 0, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 3, 1, 1, 3, 0, 1, 1, 2, 0, 0, 2, 0, 2, 1, 2, 2, 0, 3, 3]"
16,3863890016,[]
17,3863890017,"[2, 0, 3]"
18,3863890018,[]
19,3863890019,[]
20,3863890020,"[0, 3, 1, 2, 1, 3, 3, 0, 3, 1, 3, 3, 0, 2, 0, 3, 1, 2, 1, 2, 2, 0, 2, 0, 3, 1, 3, 1, 2, 0, 0, 3, 1, 1, 3, 3, 0, 2, 3, 0, 2, 1, 2, 3, 0, 3, 1, 1, 2, 2, 2, 2, 0, 2, 0, 3, 3, 3, 2, 1, 2, 2, 0, 3, 3, 1, 3, 3, 3, 0, 2, 3, 2, 1, 3, 1, 2, 2, 2, 0, 0, 3, 1, 3, 3, 1, 2, 2, 2, 0, 2, 2, 1, 3, 0, 2, 0, 3, 3, 1, 3, 1, 2, 0, 1, 3, 3, 0, 3, 0, 2, 3, 2, 1, 3, 1, 2, 2, 2, 0, 2, 2, 1, 3, 0, 2, 0, 3, 3, 3, 1, 0, 2, 1, 2, 1, 3, 0, 1, 2, 0, 2, 0, 3, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 1, 2, 3, 2, 0, 3, 0, 2, 3, 3, 1, 2, 2, 1, 2]"
21,3863890021,"[2, 3, 1, 2, 3, 0, 2, 1, 1, 2, 2, 0, 3, 1, 3, 0, 0]"
22,3863890022,"[0, 0, 3, 2, 1, 1, 3, 0, 2, 0, 0, 3, 2, 1, 1, 3, 0, 2, 0, 0]"
23,3863890023,"[3, 0, 2, 0, 3]"
24,3863890024,"[0, 1, 3, 3, 0, 0, 0, 3, 1, 3, 3, 0, 2, 1, 2, 2, 1, 1, 2, 0, 2, 3, 1, 3, 0, 0, 0, 3, 2, 2, 2, 1, 3, 0, 2, 1, 1, 3, 1, 3, 0, 3, 0, 3, 3, 0, 2, 1, 2, 1, 2, 2, 2, 0, 0, 3, 3, 1, 0, 3, 2, 2, 2, 1, 1, 3, 1, 3, 0, 2, 2, 1, 3, 3, 0, 3, 0, 0, 2, 1, 0, 2, 2, 1, 1, 3, 0, 3, 3, 3, 3, 0, 2, 1, 2, 2, 0, 2, 2, 1, 1, 3, 1, 3, 0, 2, 2, 0, 0, 3, 3, 3, 1, 2, 1, 0, 0, 3, 1, 3, 3, 0, 2, 1, 2, 2, 1, 2, 2, 0, 3, 0, 2, 1, 1, 3, 1, 3, 0, 3, 0, 3, 0, 2, 3, 2, 1, 1, 2, 2, 0, 3, 1, 0, 2, 0, 3, 1, 3, 3, 0, 2]"
25,3863890025,"[1, 2, 0, 1, 3, 0, 3, 3, 1, 2, 3, 0, 2, 2, 2, 1, 2, 0, 3, 3, 3, 1, 2, 0, 2, 2, 2, 1, 3, 3]"
26,3863890026,[]
27,3863890027,"[2, 3, 0, 0, 0, 2, 0, 3, 0, 3, 1, 1, 1, 2, 0, 2, 1, 2, 1, 3, 1, 0, 2, 0, 2, 0, 3, 2, 3, 1, 1, 3, 1, 3, 0, 1, 2, 0, 2, 0, 0, 3, 0, 3, 0, 3, 1, 1, 1, 2, 0, 2, 1, 0, 2, 2, 1, 3, 3, 3, 0, 3, 0, 0, 2, 1, 0, 3, 1, 1, 1, 2, 2, 0, 2, 2, 1, 3, 1, 3, 1, 0, 2, 0, 0, 3, 0, 3, 0, 3, 1, 1, 1, 2, 0, 3, 1, 2, 0, 2, 2, 2, 1, 3, 1, 3, 1, 3, 0, 1, 2, 0, 2, 0, 0, 3, 3, 3, 0, 0, 2, 1, 0, 3, 1, 2, 2, 1, 3, 0, 2, 1, 2, 2, 1, 3, 1, 3, 3, 0, 3, 0, 1, 2, 1, 1, 2, 0, 2, 0, 0, 3, 0, 3, 1, 3, 0]"
28,3863890028,[]
29,3863890029,"[2, 2, 1, 3, 0, 2, 2, 2, 2, 1, 1, 3, 1, 2, 1, 1, 3, 0, 0, 0, 2, 0, 3, 3, 0, 3, 3, 1, 2, 2, 2, 0, 2, 1]"
30,3863890030,"[0, 0, 0, 3, 3, 1, 0, 2, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 3, 1, 1, 2, 2, 0, 0, 3, 1, 0, 2, 1, 1, 1, 3, 3, 2, 0, 2, 3, 1, 3, 3, 2, 0, 2, 2, 0, 0, 3, 1, 0, 2, 1, 1, 1, 3, 3, 3, 3, 2, 2, 2, 0]"
31,3863890031,[]
32,3863890032,"[2, 3, 2, 1, 2, 2, 0, 2, 2, 1, 0, 3, 3, 1, 3, 0, 3, 0, 0, 2, 1, 1, 0, 3, 1, 1, 1, 2, 0, 3, 0, 2, 2]"
